baseline,weighting,site,n_pairs,n_structures,n_families_B,D_direct_diagonal,D_direct_mahalanobis,D_diagonal_111D,D_diagonal_178D,delta_D_diagonal_178D_minus_111D,radial_pct_D_diagonal,D_robust_111D,D_robust_178D,delta_D_robust_178D_minus_111D,radial_pct_D_robust,D_mahalanobis_111D,D_mahalanobis_178D,delta_D_mahalanobis_178D_minus_111D,radial_pct_D_mahalanobis
AT_only,pair_equal,4,105,18,12,7.409744001491985,7.37885782200875,32.649183741483206,36.91790523326159,4.268721491778386,13.074512139654688,35.21027076865386,40.176106829629994,4.965836060976137,14.103373682081994,35.550298664819024,40.2693901723759,4.719091507556875,13.274407486840444
AT_only,pair_equal,9,105,18,12,4.194299958105134,3.876001352204605,30.882520286120926,33.19032416246623,2.3078038763453073,7.472848248665992,33.34165056636218,35.925677457089755,2.5840268907275714,7.7501468788547365,33.80541824022478,36.227027867408104,2.4216096271833223,7.16337721360261
AT_only,structure_equal,4,105,18,12,6.322438938939913,6.971115831053783,27.89366786088492,31.289275166836152,3.3956073059512306,12.173398360109053,37.761374726838426,42.39759423472898,4.6362195078905515,12.277676703850023,31.84231695000635,36.23609732680526,4.393780376798908,13.798557384179393
AT_only,structure_equal,9,105,18,12,3.624169958331043,3.46606458021348,26.521262518916394,28.25684570270018,1.7355831837837847,6.544119770112276,35.702633352792354,38.17040788784521,2.467774535052854,6.912023857365821,30.781331307276073,32.44733895757789,1.6660076503018182,5.4123963439749225
AT_only,family_A_equal,4,105,18,12,5.55716561105093,6.364997638022972,25.31854209645168,28.04550190092209,2.726959804470411,10.770603591952424,29.511724465379775,33.16752674830018,3.6558022829204084,12.38762677934674,27.58781076715968,31.28864846322203,3.700837696062351,13.414756710118512
AT_only,family_A_equal,9,105,18,12,3.1790927530104582,3.06242786115693,24.071288079322056,25.472871719719482,1.4015836403974262,5.822636644033303,27.99011742633763,29.844763730134968,1.8546463037973382,6.626075466379383,26.647139218090956,28.034854739343245,1.3877155212522894,5.207746729938493
AT_only,family_B_equal,4,105,18,12,5.374319159354563,6.247501850916693,24.73974284436024,27.300035882386247,2.560293038026007,10.348907238579727,28.033633122554512,30.742208958022804,2.7085758354682916,9.661879441837677,26.584761842878805,30.1269560595566,3.542194216677796,13.324152526221088
AT_only,family_B_equal,9,105,18,12,3.0722083036115575,2.968496274872438,23.51348333010288,24.838010166957858,1.3245268368549787,5.633052399170768,26.55337992604653,27.95005106865429,1.396671142607758,5.259862008142122,25.670525048058348,26.992264726127978,1.3217396780696298,5.148861098848474
GC_only,pair_equal,4,125,18,12,6.347635199633662,8.622652104209408,29.711529351614516,32.94609322685034,3.2345638752358212,10.886561364637583,38.13409308694506,40.23128389477495,2.0971908078298895,5.499516674090902,44.21496666352797,50.84212487299544,6.627158209467474,14.988495320825567
GC_only,pair_equal,9,125,18,12,3.5861659127817958,5.060134827316761,27.914187229237907,29.84942815342057,1.9352409241826614,6.932822038807741,35.74173171001603,37.22070736692006,1.4789756569040264,4.137951873466634,41.280880337419035,44.814493403456254,3.533613066037219,8.559926622577807
GC_only,structure_equal,4,125,18,12,6.623766917916473,8.443766907111288,30.764459768380693,34.21275438690322,3.448294618522528,11.20869550281081,39.47463296326559,42.944738760967006,3.4701057977014145,8.790723401863255,43.892372652543315,50.367296174229466,6.474923521686151,14.751819348984236
GC_only,structure_equal,9,125,18,12,3.7425707226035314,4.9566150990057345,28.910436337278828,30.95977193358421,2.049335596305383,7.0885668151014665,37.03816618304388,39.20322570849364,2.165059525449763,5.845482507827103,40.97971116571744,44.476687631810385,3.4969764660929457,8.53343365928461
GC_only,family_A_equal,4,125,18,12,6.027761099883414,8.084370578572273,28.187403597434493,31.299786506672383,3.1123829092378905,11.041750966808335,32.83376141032937,35.127054235317516,2.293292824988143,6.984557134129268,39.520781957749755,45.704252830493985,6.1834708727442305,15.646124814419808
GC_only,family_A_equal,9,125,18,12,3.3999824482719037,4.667997588919789,26.498284786002333,28.347141349720747,1.8488565637184138,6.977268825697989,30.813409126165332,32.30411871585464,1.4907095896893097,4.837859983572761,36.9159798643287,40.1639647670925,3.247984902763804,8.798316920478868
GC_only,family_B_equal,4,125,18,12,5.869002476691736,7.992335321472624,27.563182371285162,30.560479200381927,2.997296829096765,10.874277101686546,31.119176422431106,33.228235611083875,2.1090591886527683,6.777361842817058,38.325851153189525,44.38342765095137,6.057576497761843,15.805458497319567
GC_only,family_B_equal,9,125,18,12,3.307400523127383,4.596962896385204,25.91560815714763,27.69765403494507,1.7820458777974402,6.87634211395477,29.21618467970439,30.596030148492833,1.3798454687884423,4.722880430540884,35.836398976597195,38.96415425302253,3.127755276425333,8.727872681816887
canonical_pooled,pair_equal,4,230,18,12,6.639796977597805,7.591649627888257,29.29837132887897,33.24290868833947,3.9445373594604973,13.463333218022346,33.13051569032555,37.35898609894361,4.228470408618058,12.763068489914312,36.52134152842846,41.99599825112992,5.474656722701461,14.990294697800056
canonical_pooled,pair_equal,9,230,18,12,3.76246252975375,4.273495473049153,27.57568812269145,29.822188420583764,2.2465002978923145,8.146669950345562,31.217350681658004,33.595179943223535,2.3778292615655303,7.617011724709369,34.42722398822759,37.18117958055736,2.753955592329774,7.9993542124438815
canonical_pooled,structure_equal,4,230,18,12,6.5688874356823295,7.250335432837444,28.592427883305668,32.556313077871685,3.963885194566018,13.863408909323232,34.89290185491731,39.83174080136595,4.938838946448641,14.154279764360243,35.30172988733682,40.4223799783671,5.120650091030278,14.505380068830906
canonical_pooled,structure_equal,9,230,18,12,3.7361532740000722,4.091651588818704,26.931225343690397,29.167807400654507,2.23658205696411,8.304791291229195,32.8885131856767,35.64864022401255,2.7601270383358525,8.392374026618866,33.36814232437487,35.83320421887086,2.465061894495989,7.3874711709536856
canonical_pooled,family_A_equal,4,230,18,12,5.928380664572801,6.70194247187074,26.298222877051344,29.710339332393914,3.41211645534257,12.974703542877378,30.604093766693065,33.99494723457684,3.390853467883776,11.07973820016882,31.120645395196327,35.69028741682504,4.569642021628717,14.683635135452782
canonical_pooled,family_A_equal,9,230,18,12,3.3661180073558965,3.7210626861989136,24.779687992951107,26.712074980647934,1.9323869876968267,7.798270051852624,28.818461912475904,30.776939776639285,1.958477864163381,6.795913918346661,29.44140376591472,31.583739206709815,2.142335440795094,7.276607657123149
canonical_pooled,family_B_equal,4,230,18,12,5.763444066273853,6.584212820211289,25.708713647568757,28.973774298476236,3.265060650907479,12.700210114232037,29.768905193839686,32.847247099033595,3.078341905193909,10.340796496039548,30.137961679174143,34.55732955948219,4.419367880308048,14.663791557482496
canonical_pooled,family_B_equal,9,230,18,12,3.2707151582492084,3.6337500857317897,24.229872459193516,26.07920375199711,1.849331292803594,7.632443364768536,28.03410316960081,29.823899181745848,1.789796012145036,6.384352662602124,28.538134195555536,30.57418330518343,2.0360491096278928,7.134485722423236
