branch_type,baseline_or_variant,weighting,metric,site,delta_178D_minus_111D,direction_positive
baseline_x_weighting_x_metric,canonical_pooled,family_B_equal,D_robust,4,3.078341905193909,True
baseline_x_weighting_x_metric,canonical_pooled,family_B_equal,D_mahalanobis,4,4.419367880308048,True
baseline_x_weighting_x_metric,canonical_pooled,family_B_equal,D_diagonal,9,1.849331292803594,True
baseline_x_weighting_x_metric,canonical_pooled,family_B_equal,D_robust,9,1.789796012145036,True
baseline_x_weighting_x_metric,canonical_pooled,family_B_equal,D_mahalanobis,9,2.0360491096278928,True
terminal_sequence_pairtype_stratum,AT_all,pair_equal,D_diagonal,4,4.268721491778386,True
terminal_sequence_pairtype_stratum,AT_all,pair_equal,D_mahalanobis,4,4.719091507556875,True
terminal_sequence_pairtype_stratum,AT_all,pair_equal,D_diagonal,9,2.3078038763453073,True
terminal_sequence_pairtype_stratum,AT_all,pair_equal,D_mahalanobis,9,2.4216096271833223,True
terminal_sequence_pairtype_stratum,AT_all,structure_equal,D_diagonal,4,3.3956073059512306,True
terminal_sequence_pairtype_stratum,AT_all,structure_equal,D_mahalanobis,4,4.393780376798908,True
terminal_sequence_pairtype_stratum,AT_all,structure_equal,D_diagonal,9,1.7355831837837847,True
terminal_sequence_pairtype_stratum,AT_all,structure_equal,D_mahalanobis,9,1.6660076503018182,True
terminal_sequence_pairtype_stratum,AT_all,family_B_equal,D_diagonal,4,2.560293038026007,True
terminal_sequence_pairtype_stratum,AT_all,family_B_equal,D_mahalanobis,4,3.542194216677796,True
terminal_sequence_pairtype_stratum,AT_all,family_B_equal,D_diagonal,9,1.3245268368549787,True
terminal_sequence_pairtype_stratum,AT_all,family_B_equal,D_mahalanobis,9,1.3217396780696298,True
terminal_sequence_pairtype_stratum,AT_nonterminal,pair_equal,D_diagonal,4,4.265255502279494,True
terminal_sequence_pairtype_stratum,AT_nonterminal,pair_equal,D_mahalanobis,4,4.674561517118093,True
terminal_sequence_pairtype_stratum,AT_nonterminal,pair_equal,D_diagonal,9,2.2945646097834533,True
terminal_sequence_pairtype_stratum,AT_nonterminal,pair_equal,D_mahalanobis,9,2.39528384407415,True
terminal_sequence_pairtype_stratum,AT_nonterminal,structure_equal,D_diagonal,4,3.3964827573460106,True
terminal_sequence_pairtype_stratum,AT_nonterminal,structure_equal,D_mahalanobis,4,4.37032857658469,True
terminal_sequence_pairtype_stratum,AT_nonterminal,structure_equal,D_diagonal,9,1.7289133800252792,True
terminal_sequence_pairtype_stratum,AT_nonterminal,structure_equal,D_mahalanobis,9,1.6513030822174137,True
terminal_sequence_pairtype_stratum,AT_nonterminal,family_B_equal,D_diagonal,4,2.558929772570359,True
terminal_sequence_pairtype_stratum,AT_nonterminal,family_B_equal,D_mahalanobis,4,3.508119052577367,True
terminal_sequence_pairtype_stratum,AT_nonterminal,family_B_equal,D_diagonal,9,1.3168063004602857,True
terminal_sequence_pairtype_stratum,AT_nonterminal,family_B_equal,D_mahalanobis,9,1.3057121367220077,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,pair_equal,D_diagonal,4,6.804605234981928,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,pair_equal,D_mahalanobis,4,7.252447896591434,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,pair_equal,D_diagonal,9,3.6613944945553385,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,pair_equal,D_mahalanobis,9,4.34038628081548,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,structure_equal,D_diagonal,4,7.316473757925067,True
